Symbol,Company,Market,Industry,Sector,Auditor,Auditor_Original,Audit_fee,Audit_fee(Sub),Other_fee,Other_fee(Sub),Totat_audit_fee,Totat_other_fee,รวมสินทรัพย์,รายได้จากการดำเนินงาน
TEGH,บริษัท ไทยอีสเทิร์น กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,ธุรกิจการเกษตร,EY OFFICE LIMITED,N/A,,,,,,,"8,100,000,000.00","20,000,000,000.00"
TEKA,บริษัท ฑีฆาก่อสร้าง จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,1600000,,,,1600000,,"1,860,000,000.00","1,660,000,000.00"
TERA,บริษัท เทอร์ราไบท์ พลัส จำกัด (มหาชน),mai,เทคโนโลยี,-,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,1777500,,,50000,1777500,50000,"486,000,000.00","450,000,000.00"
TFFIF,กองทุนรวมโครงสร้างพื้นฐานเพื่ออนาคตประเทศไทย,SET,บริการ,ขนส่งและโลจิสติกส์,,บริษัท สำนักงาน อีวาย จำกัด,"1,531,286.00",,0,,"1,531,286.00",0,,
TFG,บริษัท ไทยฟู้ดส์ กรุ๊ป จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,,,,,,,"47,800,000,000.00","72,800,000,000.00"
TFI,บริษัท ไทยฟิวเจอร์อินคอร์ปอเรชั่น จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,KARIN AUDIT COMPANY LIMITED,บริษัท กรินทร์ ออดิท จำกัด,1000000,,,,1000000,,"2,590,000,000.00","472,000,000.00"
TFM,บริษัท ไทยยูเนี่ยน ฟีดมิลล์ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,ธุรกิจการเกษตร,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,2300000,159219.57,300000,,2459219.57,300000,"3,830,000,000.00","6,030,000,000.00"
TFMAMA,บริษัท ไทยเพรซิเดนท์ฟูดส์ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"3,200,000","4,389,360","345,000","260,000","7,589,360","605,000","51,600,000,000.00","27,600,000,000.00"
TGE,บริษัท ท่าฉาง กรีน เอ็นเนอร์ยี่ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,"1,560,000","2,415,000",0,0,"3,975,000",0,"4,150,000,000.00","1,230,000,000.00"
TGH,บริษัท ไทยกรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"19,426,735.00",,"578,122.93",,"19,426,735.00","578,122.93","92,300,000,000.00","14,300,000,000.00"
TGPRO,บริษัท ไทย-เยอรมัน โปรดักส์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,KARIN AUDIT COMPANY LIMITED,บริษัท กรินทร์ ออดิท จำกัด,1324000,663000,,,1987000,,"2,550,000,000.00","1,370,000,000.00"
TH,บริษัท ตงฮั้ว โฮลดิ้ง จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,PROUD IN PRO COMPANY LIMITED,บริษัท พราวด์ อิน โปร จำกัด,"1,355,000","1,495,000",,,"2,850,000",,"1,740,000,000.00","243,000,000.00"
THAI,บริษัท การบินไทย จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,"DELOITTE TOUCHE TOHMATSU JAIYOS AUDIT CO., LTD.",บริษัท ดีลอยท์ ทู้ช โธมัทสุ ไชยยศ สอบบัญชี จำกัด,"12,700,000","724,000","2,062,500",,"13,424,000","2,062,500","304,000,000,000.00","183,000,000,000.00"
THANA,บริษัท ธนาสิริ กรุ๊ป จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,1400000,250000,,,1650000,,"1,150,000,000.00","468,000,000.00"
THANI,บริษัท ราชธานีลิสซิ่ง จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,2050000,350000,,,2400000,,"41,000,000,000.00","3,220,000,000.00"
THCOM,บริษัท ไทยคม จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"1,780,000","4,390,000","90,000","90,000","6,170,000","180,000","17,300,000,000.00","2,470,000,000.00"
THE,บริษัท เดอะ สตีล จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,2750000,500000,200000,27000,3250000,227000,"3,360,000,000.00","6,560,000,000.00"
